user_id,age,gender,city,product_category,price,quantity,payment_method,purchase_time,delivery_days,rating,total_spent
U02340,24,M,Semarang,Fashion,30000,3,PayLater,2024-05-30 12:03:51,2,5,90000
U00335,39,F,Jakarta,Electronics,1553000,2,PayLater,2024-03-26 06:32:33,4,5,3106000
U01859,33,F,Palembang,Home,864000,1,Transfer,2024-01-27 18:33:09,4,4,864000
U01208,24,F,Surabaya,Sports,359000,1,Transfer,2024-06-24 17:16:43,4,4,359000
U00925,41,F,Jakarta,Food,82000,3,PayLater,2024-04-13 17:37:07,2,5,246000
U05077,30,F,Jakarta,Books,100000,2,PayLater,2024-01-07 03:51:11,3,4,200000
U02946,20,F,Balikpapan,Food,36000,1,COD,2024-05-16 09:47:06,1,5,36000
U05382,24,M,Jakarta,Fashion,127000,1,COD,2024-01-28 02:33:14,1,4,127000
U05430,17,M,Medan,Electronics,705000,1,Credit Card,2024-03-25 19:01:33,3,4,705000
U04440,35,F,Jakarta,Sports,740000,1,E-Wallet,2024-01-13 02:47:13,1,4,740000
U04753,28,F,Jakarta,Food,83000,6,E-Wallet,2024-01-19 06:41:08,2,5,498000
U05893,17,M,Jakarta,Automotive,520000,1,COD,2024-03-05 05:14:58,2,5,520000
U03586,18,F,Surabaya,Home,101000,2,PayLater,2024-06-01 22:24:47,3,3,202000
U05946,38,M,Surabaya,Food,69000,6,PayLater,2024-06-29 13:30:10,8,3,414000
U04357,32,F,Medan,Food,26000,2,E-Wallet,2024-02-01 18:03:44,6,4,52000
U05482,34,M,Makassar,Electronics,1915000,1,Credit Card,2024-06-12 14:42:58,5,4,1915000
U04028,28,M,Surabaya,Beauty,43000,2,Credit Card,2024-04-16 14:34:16,7,4,86000
U04265,29,M,Balikpapan,Beauty,134000,1,Transfer,2024-05-23 15:29:02,7,4,134000
U04756,33,M,Jakarta,Toys,173000,3,Transfer,2024-01-22 13:33:43,3,4,519000
U04296,17,M,Jakarta,Fashion,39000,4,Transfer,2024-05-27 20:05:04,1,5,156000
U05505,26,M,Medan,Fashion,658000,3,PayLater,2024-05-06 12:14:02,6,5,1974000
U04678,40,F,Medan,Electronics,1378000,1,Transfer,2024-01-13 20:11:53,6,4,1378000
U04662,27,M,Yogyakarta,Fashion,176000,1,E-Wallet,2024-05-16 01:03:12,6,4,176000
U03843,39,M,Balikpapan,Food,72000,3,COD,2024-05-19 13:21:42,5,4,216000
U02399,32,M,Surabaya,Health,136000,2,E-Wallet,2024-01-27 16:30:26,3,4,272000
U00028,33,M,Denpasar,Beauty,163000,1,E-Wallet,2024-06-29 16:47:26,4,5,163000
U03951,35,M,Semarang,Books,44000,2,COD,2024-01-03 21:39:15,5,5,88000
U01899,35,M,Makassar,Fashion,192000,2,E-Wallet,2024-01-22 06:02:27,5,3,384000
U04728,26,M,Balikpapan,Electronics,455000,2,PayLater,2024-03-02 12:44:11,3,4,910000
U02428,29,M,Medan,Fashion,179000,4,E-Wallet,2024-04-13 00:27:05,4,3,716000
U01626,40,M,Surabaya,Fashion,583000,2,Transfer,2024-06-09 09:12:57,1,4,1166000
U02576,20,M,Bandung,Beauty,44000,2,E-Wallet,2024-01-22 13:05:57,6,4,88000
U02037,34,M,Bandung,Food,39000,6,Transfer,2024-04-19 09:42:35,1,5,234000
U01311,30,M,Makassar,Toys,42000,2,E-Wallet,2024-02-14 03:08:19,4,4,84000
U03356,29,M,Semarang,Health,142000,3,Credit Card,2024-05-29 15:14:34,3,5,426000
U05862,41,M,Surabaya,Food,69000,2,E-Wallet,2024-01-10 12:28:33,6,4,138000
U03721,39,F,Makassar,Sports,506000,1,Credit Card,2024-06-11 22:27:54,5,3,506000
U04903,21,M,Medan,Beauty,83000,2,Transfer,2024-05-21 03:09:45,6,4,166000
U02275,20,M,Bandung,Fashion,47000,4,Transfer,2024-03-25 06:22:07,5,5,188000
U02075,24,M,Jakarta,Automotive,265000,2,E-Wallet,2024-03-16 02:26:33,3,5,530000
